time,temperature_2m,precipitation_probability
2026-04-21T00:00,67.4,0
2026-04-21T01:00,65.1,0
2026-04-21T02:00,63.9,0
2026-04-21T03:00,61.1,0
2026-04-21T04:00,60.8,0
2026-04-21T05:00,59.9,0
2026-04-21T06:00,59.2,0
2026-04-21T07:00,64.0,0
2026-04-21T08:00,69.9,0
2026-04-21T09:00,76.2,0
2026-04-21T10:00,79.7,0
2026-04-21T11:00,81.1,0
2026-04-21T12:00,83.1,0
2026-04-21T13:00,85.5,0
2026-04-21T14:00,86.9,0
2026-04-21T15:00,87.8,0
2026-04-21T16:00,87.1,0
2026-04-21T17:00,86.0,0
2026-04-21T18:00,83.5,0
2026-04-21T19:00,77.9,0
2026-04-21T20:00,74.3,0
2026-04-21T21:00,71.6,0
2026-04-21T22:00,69.0,0
2026-04-21T23:00,67.1,0
2026-04-22T00:00,65.3,0
2026-04-22T01:00,63.4,0
2026-04-22T02:00,62.6,0
2026-04-22T03:00,60.8,0
2026-04-22T04:00,59.4,0
2026-04-22T05:00,57.3,0
2026-04-22T06:00,56.7,0
2026-04-22T07:00,60.8,0
2026-04-22T08:00,67.4,0
2026-04-22T09:00,70.9,0
2026-04-22T10:00,74.9,0
2026-04-22T11:00,79.1,0
2026-04-22T12:00,81.4,0
2026-04-22T13:00,82.9,0
2026-04-22T14:00,84.2,0
2026-04-22T15:00,84.0,0
2026-04-22T16:00,83.2,0
2026-04-22T17:00,81.9,0
2026-04-22T18:00,79.6,0
2026-04-22T19:00,74.0,0
2026-04-22T20:00,70.5,0
2026-04-22T21:00,67.1,0
2026-04-22T22:00,63.5,0
2026-04-22T23:00,61.3,0
2026-04-23T00:00,59.3,0
2026-04-23T01:00,57.4,0
2026-04-23T02:00,55.9,0
2026-04-23T03:00,54.6,0
2026-04-23T04:00,53.5,0
2026-04-23T05:00,51.9,0
2026-04-23T06:00,51.6,0
2026-04-23T07:00,57.4,0
2026-04-23T08:00,63.2,0
2026-04-23T09:00,66.6,0
2026-04-23T10:00,69.8,0
2026-04-23T11:00,72.4,0
2026-04-23T12:00,75.1,0
2026-04-23T13:00,78.4,0
2026-04-23T14:00,80.4,0
2026-04-23T15:00,80.4,0
2026-04-23T16:00,79.3,0
2026-04-23T17:00,77.1,0
2026-04-23T18:00,75.0,0
2026-04-23T19:00,70.8,0
2026-04-23T20:00,66.7,0
2026-04-23T21:00,63.6,0
2026-04-23T22:00,61.1,0
2026-04-23T23:00,60.0,0
2026-04-24T00:00,58.0,0
2026-04-24T01:00,56.4,0
2026-04-24T02:00,55.5,0
2026-04-24T03:00,55.9,0
2026-04-24T04:00,55.3,0
2026-04-24T05:00,54.1,0
2026-04-24T06:00,54.1,0
2026-04-24T07:00,62.5,0
2026-04-24T08:00,66.5,0
2026-04-24T09:00,69.6,0
2026-04-24T10:00,72.3,0
2026-04-24T11:00,74.8,0
2026-04-24T12:00,77.7,0
2026-04-24T13:00,79.8,0
2026-04-24T14:00,81.3,0
2026-04-24T15:00,81.4,0
2026-04-24T16:00,81.6,0
2026-04-24T17:00,80.7,0
2026-04-24T18:00,78.7,0
2026-04-24T19:00,71.5,0
2026-04-24T20:00,67.9,0
2026-04-24T21:00,65.4,0
2026-04-24T22:00,63.4,0
2026-04-24T23:00,62.2,0
2026-04-25T00:00,60.7,0
2026-04-25T01:00,59.3,0
2026-04-25T02:00,58.6,0
2026-04-25T03:00,57.3,0
2026-04-25T04:00,56.2,0
2026-04-25T05:00,56.2,0
2026-04-25T06:00,57.9,0
2026-04-25T07:00,63.8,0
2026-04-25T08:00,68.7,0
2026-04-25T09:00,71.4,0
2026-04-25T10:00,74.8,0
2026-04-25T11:00,77.5,0
2026-04-25T12:00,78.6,0
2026-04-25T13:00,79.1,0
2026-04-25T14:00,79.6,0
2026-04-25T15:00,78.0,0
2026-04-25T16:00,76.9,0
2026-04-25T17:00,75.7,0
2026-04-25T18:00,73.7,1
2026-04-25T19:00,69.0,1
2026-04-25T20:00,66.0,1
2026-04-25T21:00,64.0,1
2026-04-25T22:00,60.7,1
2026-04-25T23:00,58.0,1
2026-04-26T00:00,56.1,0
2026-04-26T01:00,53.7,0
2026-04-26T02:00,52.6,0
2026-04-26T03:00,51.7,0
2026-04-26T04:00,51.0,0
2026-04-26T05:00,50.7,0
2026-04-26T06:00,52.6,0
2026-04-26T07:00,55.9,0
2026-04-26T08:00,59.1,0
2026-04-26T09:00,62.4,0
2026-04-26T10:00,65.6,0
2026-04-26T11:00,68.5,0
2026-04-26T12:00,70.8,1
2026-04-26T13:00,72.8,1
2026-04-26T14:00,73.9,1
2026-04-26T15:00,74.2,1
2026-04-26T16:00,73.6,1
2026-04-26T17:00,72.1,1
2026-04-26T18:00,68.8,0
2026-04-26T19:00,64.6,0
2026-04-26T20:00,60.7,0
2026-04-26T21:00,57.8,0
2026-04-26T22:00,55.2,0
2026-04-26T23:00,53.2,0
2026-04-27T00:00,51.9,1
2026-04-27T01:00,51.2,1
2026-04-27T02:00,50.8,1
2026-04-27T03:00,50.3,1
2026-04-27T04:00,50.1,1
2026-04-27T05:00,51.2,1
2026-04-27T06:00,54.4,0
2026-04-27T07:00,58.7,0
2026-04-27T08:00,62.9,0
2026-04-27T09:00,66.6,0
2026-04-27T10:00,70.2,0
2026-04-27T11:00,73.3,0
2026-04-27T12:00,76.2,0
2026-04-27T13:00,78.7,0
2026-04-27T14:00,80.4,0
2026-04-27T15:00,81.1,0
2026-04-27T16:00,81.0,0
2026-04-27T17:00,79.3,0
2026-04-27T18:00,74.9,0
2026-04-27T19:00,68.8,0
2026-04-27T20:00,64.3,0
2026-04-27T21:00,62.8,0
2026-04-27T22:00,62.6,0
2026-04-27T23:00,62.4,0
