time,temperature_2m,precipitation_probability
2026-04-26T00:00,68.7,1
2026-04-26T01:00,69.8,1
2026-04-26T02:00,69.6,3
2026-04-26T03:00,69.6,3
2026-04-26T04:00,68.9,3
2026-04-26T05:00,66.3,3
2026-04-26T06:00,64.4,2
2026-04-26T07:00,65.1,1
2026-04-26T08:00,68.3,2
2026-04-26T09:00,68.5,1
2026-04-26T10:00,70.0,0
2026-04-26T11:00,71.4,0
2026-04-26T12:00,73.2,0
2026-04-26T13:00,74.7,0
2026-04-26T14:00,74.9,0
2026-04-26T15:00,75.0,0
2026-04-26T16:00,74.5,1
2026-04-26T17:00,73.1,0
2026-04-26T18:00,70.9,0
2026-04-26T19:00,67.5,0
2026-04-26T20:00,64.7,0
2026-04-26T21:00,62.0,0
2026-04-26T22:00,59.6,0
2026-04-26T23:00,57.4,0
2026-04-27T00:00,55.7,0
2026-04-27T01:00,54.4,0
2026-04-27T02:00,53.3,0
2026-04-27T03:00,52.3,0
2026-04-27T04:00,50.7,0
2026-04-27T05:00,49.4,0
2026-04-27T06:00,48.7,0
2026-04-27T07:00,55.0,0
2026-04-27T08:00,60.1,0
2026-04-27T09:00,64.3,0
2026-04-27T10:00,67.9,0
2026-04-27T11:00,70.3,0
2026-04-27T12:00,73.4,0
2026-04-27T13:00,76.1,0
2026-04-27T14:00,79.4,0
2026-04-27T15:00,80.5,0
2026-04-27T16:00,79.6,0
2026-04-27T17:00,78.5,0
2026-04-27T18:00,76.1,0
2026-04-27T19:00,71.5,0
2026-04-27T20:00,66.6,0
2026-04-27T21:00,63.6,0
2026-04-27T22:00,61.0,0
2026-04-27T23:00,59.0,0
2026-04-28T00:00,56.8,0
2026-04-28T01:00,55.4,0
2026-04-28T02:00,53.4,0
2026-04-28T03:00,52.5,0
2026-04-28T04:00,51.4,0
2026-04-28T05:00,50.9,0
2026-04-28T06:00,50.7,0
2026-04-28T07:00,56.2,0
2026-04-28T08:00,61.7,0
2026-04-28T09:00,65.8,0
2026-04-28T10:00,69.1,0
2026-04-28T11:00,71.8,0
2026-04-28T12:00,73.5,0
2026-04-28T13:00,76.2,0
2026-04-28T14:00,78.4,0
2026-04-28T15:00,78.6,0
2026-04-28T16:00,77.3,0
2026-04-28T17:00,76.8,0
2026-04-28T18:00,75.5,0
2026-04-28T19:00,69.0,0
2026-04-28T20:00,66.1,0
2026-04-28T21:00,64.9,0
2026-04-28T22:00,63.4,0
2026-04-28T23:00,63.8,0
2026-04-29T00:00,63.1,0
2026-04-29T01:00,59.8,0
2026-04-29T02:00,58.9,0
2026-04-29T03:00,57.3,0
2026-04-29T04:00,58.4,0
2026-04-29T05:00,59.5,0
2026-04-29T06:00,57.9,2
2026-04-29T07:00,65.4,2
2026-04-29T08:00,69.4,2
2026-04-29T09:00,72.6,2
2026-04-29T10:00,75.9,2
2026-04-29T11:00,78.7,2
2026-04-29T12:00,81.4,8
2026-04-29T13:00,82.2,8
2026-04-29T14:00,82.5,8
